,score,Succeeded orders,Failed orders
0,-80,"[[26, ""11:21:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [29, ""11:27:00"", ""res_C"", 20], [2, ""11:50:00"", ""res_A"", 32], [14, ""12:25:00"", ""res_B"", 30], [34, ""12:56:00"", ""res_D"", 30], [38, ""12:56:00"", ""res_D"", 30], [10, ""12:25:00"", ""res_B"", 30], [15, ""12:34:00"", ""res_B"", 30]]"
0,-80,"[[29, ""11:27:00"", ""res_C"", 20], [27, ""11:28:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [21, ""11:29:00"", ""res_C"", 20], [3, ""11:58:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [39, ""12:41:00"", ""res_D"", 30]]"
0,-75,"[[27, ""11:28:00"", ""res_C"", 20], [22, ""11:36:00"", ""res_C"", 20], [2, ""11:50:00"", ""res_A"", 32], [0, ""12:01:00"", ""res_A"", 32], [9, ""11:51:00"", ""res_A"", 32]]","[[29, ""11:27:00"", ""res_C"", 20], [23, ""11:30:00"", ""res_C"", 20], [28, ""11:36:00"", ""res_C"", 20], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [32, ""12:46:00"", ""res_D"", 30]]"
0,-90,"[[20, ""11:17:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [25, ""11:35:00"", ""res_C"", 20], [4, ""11:46:00"", ""res_A"", 32], [3, ""11:58:00"", ""res_A"", 32]]","[[24, ""11:26:00"", ""res_C"", 20], [22, ""11:36:00"", ""res_C"", 20], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [30, ""12:54:00"", ""res_D"", 30], [1, ""11:47:00"", ""res_A"", 32]]"
0,-95,"[[20, ""11:17:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [4, ""11:46:00"", ""res_A"", 32], [1, ""11:47:00"", ""res_A"", 32]]","[[3, ""11:58:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [39, ""12:41:00"", ""res_D"", 30]]"
0,-80,"[[20, ""11:17:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [25, ""11:35:00"", ""res_C"", 20], [4, ""11:46:00"", ""res_A"", 32], [3, ""11:58:00"", ""res_A"", 32]]","[[29, ""11:27:00"", ""res_C"", 20], [22, ""11:36:00"", ""res_C"", 20], [13, ""12:32:00"", ""res_B"", 30], [15, ""12:34:00"", ""res_B"", 30], [30, ""12:54:00"", ""res_D"", 30], [1, ""11:47:00"", ""res_A"", 32]]"
0,-85,"[[29, ""11:27:00"", ""res_C"", 20], [21, ""11:29:00"", ""res_C"", 20], [27, ""11:28:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [0, ""12:01:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [32, ""12:46:00"", ""res_D"", 30]]"
0,-95,"[[20, ""11:17:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [2, ""11:50:00"", ""res_A"", 32], [9, ""11:51:00"", ""res_A"", 32]]","[[0, ""12:01:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [39, ""12:41:00"", ""res_D"", 30]]"
0,-100,"[[26, ""11:21:00"", ""res_C"", 20], [29, ""11:27:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [4, ""11:46:00"", ""res_A"", 32], [3, ""11:58:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [12, ""12:28:00"", ""res_B"", 30], [17, ""12:29:00"", ""res_B"", 30], [35, ""12:50:00"", ""res_D"", 30], [1, ""11:47:00"", ""res_A"", 32]]"
0,-70,"[[24, ""11:26:00"", ""res_C"", 20], [23, ""11:30:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [29, ""11:27:00"", ""res_C"", 20], [25, ""11:35:00"", ""res_C"", 20], [0, ""12:01:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [32, ""12:46:00"", ""res_D"", 30]]"
0,-65,"[[26, ""11:21:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [22, ""11:36:00"", ""res_C"", 20], [2, ""11:50:00"", ""res_A"", 32], [9, ""11:51:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [29, ""11:27:00"", ""res_C"", 20], [28, ""11:36:00"", ""res_C"", 20], [0, ""12:01:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [32, ""12:46:00"", ""res_D"", 30]]"
0,-90,"[[20, ""11:17:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [25, ""11:35:00"", ""res_C"", 20], [4, ""11:46:00"", ""res_A"", 32]]","[[24, ""11:26:00"", ""res_C"", 20], [22, ""11:36:00"", ""res_C"", 20], [10, ""12:25:00"", ""res_B"", 30], [13, ""12:32:00"", ""res_B"", 30], [30, ""12:54:00"", ""res_D"", 30], [1, ""11:47:00"", ""res_A"", 32]]"
0,-70,"[[26, ""11:21:00"", ""res_C"", 20], [23, ""11:30:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [3, ""11:58:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [25, ""11:35:00"", ""res_C"", 20], [18, ""12:27:00"", ""res_B"", 30], [12, ""12:28:00"", ""res_B"", 30], [32, ""12:46:00"", ""res_D"", 30]]"
0,-90,"[[29, ""11:27:00"", ""res_C"", 20], [22, ""11:36:00"", ""res_C"", 20], [2, ""11:50:00"", ""res_A"", 32]]","[[24, ""11:26:00"", ""res_C"", 20], [27, ""11:28:00"", ""res_C"", 20], [28, ""11:36:00"", ""res_C"", 20], [10, ""12:25:00"", ""res_B"", 30], [11, ""12:30:00"", ""res_B"", 30], [36, ""12:52:00"", ""res_D"", 30], [9, ""11:51:00"", ""res_A"", 32]]"
0,-80,"[[26, ""11:21:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [4, ""11:46:00"", ""res_A"", 32], [1, ""11:47:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [29, ""11:27:00"", ""res_C"", 20], [7, ""11:58:00"", ""res_A"", 32], [14, ""12:25:00"", ""res_B"", 30], [30, ""12:54:00"", ""res_D"", 30], [34, ""12:56:00"", ""res_D"", 30], [10, ""12:25:00"", ""res_B"", 30], [13, ""12:32:00"", ""res_B"", 30]]"
0,-80,"[[20, ""11:17:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [22, ""11:36:00"", ""res_C"", 20], [2, ""11:50:00"", ""res_A"", 32], [0, ""12:01:00"", ""res_A"", 32]]","[[24, ""11:26:00"", ""res_C"", 20], [28, ""11:36:00"", ""res_C"", 20], [13, ""12:32:00"", ""res_B"", 30], [15, ""12:34:00"", ""res_B"", 30], [30, ""12:54:00"", ""res_D"", 30], [9, ""11:51:00"", ""res_A"", 32]]"
0,-75,"[[20, ""11:17:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [25, ""11:35:00"", ""res_C"", 20], [4, ""11:46:00"", ""res_A"", 32], [1, ""11:47:00"", ""res_A"", 32]]","[[24, ""11:26:00"", ""res_C"", 20], [22, ""11:36:00"", ""res_C"", 20], [3, ""11:58:00"", ""res_A"", 32], [14, ""12:25:00"", ""res_B"", 30], [39, ""12:41:00"", ""res_D"", 30], [10, ""12:25:00"", ""res_B"", 30]]"
0,-80,"[[29, ""11:27:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [2, ""11:50:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [27, ""11:28:00"", ""res_C"", 20], [10, ""12:25:00"", ""res_B"", 30], [18, ""12:27:00"", ""res_B"", 30], [39, ""12:41:00"", ""res_D"", 30]]"
0,-70,"[[29, ""11:27:00"", ""res_C"", 20], [23, ""11:30:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [27, ""11:28:00"", ""res_C"", 20], [25, ""11:35:00"", ""res_C"", 20], [3, ""11:58:00"", ""res_A"", 32], [12, ""12:28:00"", ""res_B"", 30], [39, ""12:41:00"", ""res_D"", 30], [18, ""12:27:00"", ""res_B"", 30]]"
0,-80,"[[26, ""11:21:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [29, ""11:27:00"", ""res_C"", 20], [7, ""11:58:00"", ""res_A"", 32], [14, ""12:25:00"", ""res_B"", 30], [30, ""12:54:00"", ""res_D"", 30], [34, ""12:56:00"", ""res_D"", 30], [10, ""12:25:00"", ""res_B"", 30], [13, ""12:32:00"", ""res_B"", 30]]"
0,-95,"[[20, ""11:17:00"", ""res_C"", 20], [29, ""11:27:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [2, ""11:50:00"", ""res_A"", 32], [9, ""11:51:00"", ""res_A"", 32]]","[[0, ""12:01:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [39, ""12:41:00"", ""res_D"", 30]]"
0,-75,"[[26, ""11:21:00"", ""res_C"", 20], [27, ""11:28:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [2, ""11:50:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [21, ""11:29:00"", ""res_C"", 20], [10, ""12:25:00"", ""res_B"", 30], [18, ""12:27:00"", ""res_B"", 30], [32, ""12:46:00"", ""res_D"", 30]]"
0,-70,"[[26, ""11:21:00"", ""res_C"", 20], [23, ""11:30:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [25, ""11:35:00"", ""res_C"", 20], [7, ""11:58:00"", ""res_A"", 32], [14, ""12:25:00"", ""res_B"", 30], [30, ""12:54:00"", ""res_D"", 30], [34, ""12:56:00"", ""res_D"", 30], [10, ""12:25:00"", ""res_B"", 30], [13, ""12:32:00"", ""res_B"", 30]]"
0,-65,"[[29, ""11:27:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [12, ""12:28:00"", ""res_B"", 30]]","[[24, ""11:26:00"", ""res_C"", 20], [27, ""11:28:00"", ""res_C"", 20], [2, ""11:50:00"", ""res_A"", 32], [14, ""12:25:00"", ""res_B"", 30], [31, ""12:49:00"", ""res_D"", 30], [35, ""12:50:00"", ""res_D"", 30]]"
0,-75,"[[24, ""11:26:00"", ""res_C"", 20], [29, ""11:27:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [27, ""11:28:00"", ""res_C"", 20], [7, ""11:58:00"", ""res_A"", 32], [14, ""12:25:00"", ""res_B"", 30], [30, ""12:54:00"", ""res_D"", 30], [34, ""12:56:00"", ""res_D"", 30], [10, ""12:25:00"", ""res_B"", 30], [13, ""12:32:00"", ""res_B"", 30]]"
0,-65,"[[24, ""11:26:00"", ""res_C"", 20], [23, ""11:30:00"", ""res_C"", 20], [4, ""11:46:00"", ""res_A"", 32], [5, ""12:02:00"", ""res_A"", 32], [1, ""11:47:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [29, ""11:27:00"", ""res_C"", 20], [25, ""11:35:00"", ""res_C"", 20], [18, ""12:27:00"", ""res_B"", 30], [12, ""12:28:00"", ""res_B"", 30], [31, ""12:49:00"", ""res_D"", 30]]"
0,-50,"[[29, ""11:27:00"", ""res_C"", 20], [28, ""11:36:00"", ""res_C"", 20], [22, ""11:36:00"", ""res_C"", 20], [2, ""11:50:00"", ""res_A"", 32], [9, ""11:51:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [27, ""11:28:00"", ""res_C"", 20], [5, ""12:02:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [32, ""12:46:00"", ""res_D"", 30]]"
0,-85,"[[26, ""11:21:00"", ""res_C"", 20], [27, ""11:28:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [0, ""12:01:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [21, ""11:29:00"", ""res_C"", 20], [4, ""11:46:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30]]"
0,-85,"[[26, ""11:21:00"", ""res_C"", 20], [29, ""11:27:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [5, ""12:02:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [32, ""12:46:00"", ""res_D"", 30]]"
0,-75,"[[29, ""11:27:00"", ""res_C"", 20], [25, ""11:35:00"", ""res_C"", 20], [2, ""11:50:00"", ""res_A"", 32], [0, ""12:01:00"", ""res_A"", 32]]","[[26, ""11:21:00"", ""res_C"", 20], [27, ""11:28:00"", ""res_C"", 20], [22, ""11:36:00"", ""res_C"", 20], [13, ""12:32:00"", ""res_B"", 30], [15, ""12:34:00"", ""res_B"", 30], [30, ""12:54:00"", ""res_D"", 30], [9, ""11:51:00"", ""res_A"", 32]]"
0,-85,"[[24, ""11:26:00"", ""res_C"", 20], [28, ""11:36:00"", ""res_C"", 20], [22, ""11:36:00"", ""res_C"", 20], [3, ""11:58:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [29, ""11:27:00"", ""res_C"", 20], [10, ""12:25:00"", ""res_B"", 30], [12, ""12:28:00"", ""res_B"", 30], [35, ""12:50:00"", ""res_D"", 30], [0, ""12:01:00"", ""res_A"", 32]]"
0,-95,"[[20, ""11:17:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [22, ""11:36:00"", ""res_C"", 20], [2, ""11:50:00"", ""res_A"", 32]]","[[24, ""11:26:00"", ""res_C"", 20], [28, ""11:36:00"", ""res_C"", 20], [10, ""12:25:00"", ""res_B"", 30], [12, ""12:28:00"", ""res_B"", 30], [35, ""12:50:00"", ""res_D"", 30], [9, ""11:51:00"", ""res_A"", 32]]"
0,-95,"[[26, ""11:21:00"", ""res_C"", 20], [29, ""11:27:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [2, ""11:50:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [21, ""11:29:00"", ""res_C"", 20], [4, ""11:46:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30]]"
0,-85,"[[26, ""11:21:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [29, ""11:27:00"", ""res_C"", 20], [2, ""11:50:00"", ""res_A"", 32], [14, ""12:25:00"", ""res_B"", 30], [36, ""12:52:00"", ""res_D"", 30], [30, ""12:54:00"", ""res_D"", 30], [10, ""12:25:00"", ""res_B"", 30], [11, ""12:30:00"", ""res_B"", 30]]"
0,-70,"[[26, ""11:21:00"", ""res_C"", 20], [23, ""11:30:00"", ""res_C"", 20], [4, ""11:46:00"", ""res_A"", 32], [1, ""11:47:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [25, ""11:35:00"", ""res_C"", 20], [0, ""12:01:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [32, ""12:46:00"", ""res_D"", 30]]"
0,-80,"[[20, ""11:17:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [25, ""11:35:00"", ""res_C"", 20], [4, ""11:46:00"", ""res_A"", 32], [3, ""11:58:00"", ""res_A"", 32], [1, ""11:47:00"", ""res_A"", 32]]","[[29, ""11:27:00"", ""res_C"", 20], [22, ""11:36:00"", ""res_C"", 20], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [31, ""12:49:00"", ""res_D"", 30]]"
0,-75,"[[20, ""11:17:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [25, ""11:35:00"", ""res_C"", 20], [2, ""11:50:00"", ""res_A"", 32], [9, ""11:51:00"", ""res_A"", 32]]","[[27, ""11:28:00"", ""res_C"", 20], [22, ""11:36:00"", ""res_C"", 20], [0, ""12:01:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [39, ""12:41:00"", ""res_D"", 30]]"
0,-75,"[[20, ""11:17:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [25, ""11:35:00"", ""res_C"", 20], [4, ""11:46:00"", ""res_A"", 32], [3, ""11:58:00"", ""res_A"", 32], [1, ""11:47:00"", ""res_A"", 32]]","[[29, ""11:27:00"", ""res_C"", 20], [22, ""11:36:00"", ""res_C"", 20], [14, ""12:25:00"", ""res_B"", 30], [18, ""12:27:00"", ""res_B"", 30], [32, ""12:46:00"", ""res_D"", 30]]"
0,-70,"[[26, ""11:21:00"", ""res_C"", 20], [27, ""11:28:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [21, ""11:29:00"", ""res_C"", 20], [3, ""11:58:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [32, ""12:46:00"", ""res_D"", 30]]"
0,-90,"[[20, ""11:17:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [1, ""11:47:00"", ""res_A"", 32]]","[[24, ""11:26:00"", ""res_C"", 20], [2, ""11:50:00"", ""res_A"", 32], [14, ""12:25:00"", ""res_B"", 30], [30, ""12:54:00"", ""res_D"", 30], [34, ""12:56:00"", ""res_D"", 30], [10, ""12:25:00"", ""res_B"", 30], [13, ""12:32:00"", ""res_B"", 30]]"
0,-70,"[[26, ""11:21:00"", ""res_C"", 20], [27, ""11:28:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [21, ""11:29:00"", ""res_C"", 20], [7, ""11:58:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [39, ""12:41:00"", ""res_D"", 30]]"
0,-85,"[[26, ""11:21:00"", ""res_C"", 20], [23, ""11:30:00"", ""res_C"", 20], [4, ""11:46:00"", ""res_A"", 32], [3, ""11:58:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [25, ""11:35:00"", ""res_C"", 20], [12, ""12:28:00"", ""res_B"", 30], [17, ""12:29:00"", ""res_B"", 30], [35, ""12:50:00"", ""res_D"", 30], [1, ""11:47:00"", ""res_A"", 32]]"
0,-70,"[[26, ""11:21:00"", ""res_C"", 20], [27, ""11:28:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [21, ""11:29:00"", ""res_C"", 20], [3, ""11:58:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [31, ""12:49:00"", ""res_D"", 30]]"
0,-75,"[[20, ""11:17:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [25, ""11:35:00"", ""res_C"", 20], [4, ""11:46:00"", ""res_A"", 32], [1, ""11:47:00"", ""res_A"", 32]]","[[29, ""11:27:00"", ""res_C"", 20], [22, ""11:36:00"", ""res_C"", 20], [3, ""11:58:00"", ""res_A"", 32], [14, ""12:25:00"", ""res_B"", 30], [39, ""12:41:00"", ""res_D"", 30], [10, ""12:25:00"", ""res_B"", 30]]"
0,-70,"[[26, ""11:21:00"", ""res_C"", 20], [27, ""11:28:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [21, ""11:29:00"", ""res_C"", 20], [3, ""11:58:00"", ""res_A"", 32], [12, ""12:28:00"", ""res_B"", 30], [39, ""12:41:00"", ""res_D"", 30], [18, ""12:27:00"", ""res_B"", 30]]"
0,-95,"[[20, ""11:17:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[24, ""11:26:00"", ""res_C"", 20], [2, ""11:50:00"", ""res_A"", 32], [14, ""12:25:00"", ""res_B"", 30], [36, ""12:52:00"", ""res_D"", 30], [30, ""12:54:00"", ""res_D"", 30], [10, ""12:25:00"", ""res_B"", 30], [11, ""12:30:00"", ""res_B"", 30]]"
0,-85,"[[26, ""11:21:00"", ""res_C"", 20], [27, ""11:28:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [21, ""11:29:00"", ""res_C"", 20], [18, ""12:27:00"", ""res_B"", 30], [13, ""12:32:00"", ""res_B"", 30], [30, ""12:54:00"", ""res_D"", 30], [4, ""11:46:00"", ""res_A"", 32]]"
0,-95,"[[20, ""11:17:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[24, ""11:26:00"", ""res_C"", 20], [2, ""11:50:00"", ""res_A"", 32], [14, ""12:25:00"", ""res_B"", 30], [36, ""12:52:00"", ""res_D"", 30], [30, ""12:54:00"", ""res_D"", 30], [10, ""12:25:00"", ""res_B"", 30], [11, ""12:30:00"", ""res_B"", 30]]"
0,-85,"[[20, ""11:17:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [4, ""11:46:00"", ""res_A"", 32], [5, ""12:02:00"", ""res_A"", 32]]","[[6, ""11:42:00"", ""res_A"", 32], [1, ""11:47:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [32, ""12:46:00"", ""res_D"", 30]]"
0,-75,"[[20, ""11:17:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [22, ""11:36:00"", ""res_C"", 20], [2, ""11:50:00"", ""res_A"", 32], [9, ""11:51:00"", ""res_A"", 32]]","[[29, ""11:27:00"", ""res_C"", 20], [28, ""11:36:00"", ""res_C"", 20], [0, ""12:01:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [32, ""12:46:00"", ""res_D"", 30]]"
0,-90,"[[26, ""11:21:00"", ""res_C"", 20], [29, ""11:27:00"", ""res_C"", 20], [22, ""11:36:00"", ""res_C"", 20], [2, ""11:50:00"", ""res_A"", 32]]","[[27, ""11:28:00"", ""res_C"", 20], [28, ""11:36:00"", ""res_C"", 20], [10, ""12:25:00"", ""res_B"", 30], [15, ""12:34:00"", ""res_B"", 30], [34, ""12:56:00"", ""res_D"", 30], [9, ""11:51:00"", ""res_A"", 32]]"
0,-70,"[[24, ""11:26:00"", ""res_C"", 20], [23, ""11:30:00"", ""res_C"", 20], [4, ""11:46:00"", ""res_A"", 32], [1, ""11:47:00"", ""res_A"", 32]]","[[26, ""11:21:00"", ""res_C"", 20], [29, ""11:27:00"", ""res_C"", 20], [25, ""11:35:00"", ""res_C"", 20], [3, ""11:58:00"", ""res_A"", 32], [14, ""12:25:00"", ""res_B"", 30], [39, ""12:41:00"", ""res_D"", 30], [10, ""12:25:00"", ""res_B"", 30]]"
0,-75,"[[20, ""11:17:00"", ""res_C"", 20], [29, ""11:27:00"", ""res_C"", 20], [25, ""11:35:00"", ""res_C"", 20], [2, ""11:50:00"", ""res_A"", 32], [9, ""11:51:00"", ""res_A"", 32]]","[[27, ""11:28:00"", ""res_C"", 20], [22, ""11:36:00"", ""res_C"", 20], [0, ""12:01:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [32, ""12:46:00"", ""res_D"", 30]]"
0,-60,"[[24, ""11:26:00"", ""res_C"", 20], [23, ""11:30:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [26, ""11:21:00"", ""res_C"", 20], [29, ""11:27:00"", ""res_C"", 20], [25, ""11:35:00"", ""res_C"", 20], [3, ""11:58:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [32, ""12:46:00"", ""res_D"", 30]]"
0,-70,"[[26, ""11:21:00"", ""res_C"", 20], [27, ""11:28:00"", ""res_C"", 20], [6, ""11:42:00"", ""res_A"", 32], [4, ""11:46:00"", ""res_A"", 32]]","[[20, ""11:17:00"", ""res_C"", 20], [24, ""11:26:00"", ""res_C"", 20], [21, ""11:29:00"", ""res_C"", 20], [3, ""11:58:00"", ""res_A"", 32], [10, ""12:25:00"", ""res_B"", 30], [14, ""12:25:00"", ""res_B"", 30], [39, ""12:41:00"", ""res_D"", 30]]"
